thumb_sensor,index_finger_sensor,middle_finger_sensor,ring_finger_sensor,little_finger_sensor,palm_sensor
631,585,419,515,339,946
638,594,425,523,344,959
639,591,422,515,337,939
626,583,414,508,333,927
623,591,422,517,338,947
635,594,423,518,338,952
639,597,425,517,336,946
627,586,418,513,333,942
634,594,423,518,336,949
631,592,419,514,333,941
630,590,419,514,333,943
632,591,421,516,335,946
634,594,423,517,336,949
635,596,424,517,337,950
634,596,424,518,337,950
636,596,424,518,337,950
636,597,425,517,338,951
636,598,425,518,339,950
636,596,424,518,338,950
637,597,425,518,338,950
636,599,425,517,338,950
635,597,425,518,338,950
636,597,425,519,339,949
637,600,426,518,340,951
635,598,425,518,340,950
636,599,425,519,339,951
634,595,425,520,341,950
634,597,425,520,339,951
635,595,426,520,340,951
635,595,426,520,340,951
636,596,426,520,340,951
636,596,426,520,340,950
635,600,427,520,340,950
636,597,427,520,339,949
635,596,426,521,339,949
635,595,426,520,339,950
635,596,426,520,339,950
635,597,426,521,339,950
634,597,425,521,338,948
632,594,425,520,337,948
631,593,424,518,336,956
642,608,433,531,344,968
636,603,427,523,342,962
642,600,431,528,342,963
641,606,430,527,341,963
638,597,429,523,338,955
636,603,425,521,336,949
632,598,426,524,337,948
640,605,429,528,340,961
634,601,422,520,336,952
639,599,428,526,340,959
640,604,427,526,340,958
637,601,425,523,338,953
634,599,424,522,337,953
634,593,424,522,337,952
633,592,424,521,337,951
631,590,423,520,335,949
631,587,423,519,336,948
630,594,421,519,335,947
629,593,421,518,334,946
628,589,421,518,335,944
628,591,420,518,334,944
627,581,420,517,333,944
627,582,421,517,334,943
624,579,418,513,332,935
618,574,415,509,328,929
619,582,417,516,334,947
623,585,416,513,333,944
638,600,429,527,340,960
641,601,431,529,341,965
642,604,431,530,341,965
643,605,431,531,342,965
644,604,431,531,341,966
643,606,432,530,341,966
643,601,432,531,341,967
643,605,432,531,342,966
643,604,432,531,341,966
644,605,431,530,341,965
644,605,432,530,341,967
644,605,432,530,342,967
643,605,432,530,341,966
643,606,432,530,342,966
644,606,432,530,342,966
642,605,432,530,341,966
643,607,432,531,341,967
644,607,433,531,342,967
644,607,432,530,342,968
644,607,433,531,342,967
644,607,433,530,342,967
645,607,432,531,342,966
644,606,432,530,342,965
644,605,431,530,341,965
643,606,433,529,341,965
642,608,432,529,342,965
644,606,432,528,342,966
645,598,432,529,342,967
647,606,433,530,343,969
647,609,434,530,343,970
646,610,434,529,343,970
647,601,433,530,344,970
648,603,433,529,343,970
646,604,433,528,341,970
646,607,434,528,341,969
646,606,433,526,340,968
645,609,433,527,341,969
645,607,432,526,341,969
645,611,433,526,341,968
645,609,432,526,341,967
645,612,433,526,340,968
